Residence Name,Room Style,Eligible Residents,Monthly Cost
Bentley Hall,Hybrid,First-Year and Returning Students,1176
Caneris Hall,Suite,Returning and Transfers Students,1263
Millennium Hall,Hybrid,First-Year Students,1176
North Hall,Suite,First-Year Students,1263
Stiles Hall,1 Bedroom Apartment (Furnished),Returning and Transfers Students,1640
Stiles Hall,2 Bedroom Apartment (Furnished),Returning and Transfers Students,1408
Stiles Hall,3 Bedroom Apartment (Furnished),Returning and Transfers Students,1238
Towers Hall,Traditional Double Occupancy,First-Year Students,1125
Race Street Residences,Suite,First-Year Students,1263
Van Rensselaer Hall,Suite,First-Year Students,1263
