Department Name,College Name,Description,URL,Main Office Location,Main Office Phone,Department Head,Department Administrator
"Biodiversity, Earth & Environmental Science",College of Arts and Sciences,"Drexel University's Department of Biodiversity, Earth and Environmental Science (BEES) lives by the 'Field Experience, Early and Often' motto. Students gain hands-on experience in an environmental department right from the start through our Pre-Term Field Experience. Students also have unprecedented access to incredible facilities, including local and international field sites, Drexel's Gold-LEED-certified Papadakis Integrated Sciences Building, and the Academy of Natural Sciences of Drexel University, which is the oldest natural history museum in the Western Hemisphere.",https://drexel.edu/coas/academics/departments-centers/bees/,"Papadakis Integrated Sciences Building (PISB), Room 123 3245 Chestnut Street Philadelphia, PA 19104",215.571.4651,David Velinsky,Donna Fahres
Biology,College of Arts and Sciences,"Drexel University's Department of Biology is home to a dynamic group of researchers who are leaders in the fields of cell and molecular biology, biochemistry, genomics and more. Students learn through hands-on experiences gained in and outside of the classroom. As a leader in STEM education, from research in faculty labs to co-op positions with the Children's Hospital of Pennsylvania to a study abroad on Bioko Island, our undergraduates have the opportunity to explore real-life career options before graduation.",https://drexel.edu/coas/academics/departments-centers/biology/,"Constantine Papadakis Integrated Sciences Building (PISB) 3245 Chestnut Street Philadelphia, PA 19104",215.895.2788,Mary Katherine Gonder,Brenda Jones
Chemistry,College of Arts and Sciences,Drexel University's Department of Chemistry is dedicated to excellence in education and advanced research in chemical sciences. Chemistry is often called 'the central science' because it drives all life processes and is the foundation of modern technology. Undergraduate and graduate students study the traditional disciplines of chemistry and explore the workings of chemistry in the natural and technological worlds.,https://drexel.edu/coas/academics/departments-centers/chemistry/,"Disque Hall, room 305 32 South 32nd Street Philadelphia, PA 19104",215.895.2639,Joe Foley,Trish Milnamow
Communication,College of Arts and Sciences,"Students in Drexel University's Department of Communication gain broad theoretical knowledge and hands-on experience as they work toward successful careers in public relations, corporate communication, social media management, journalism, digital storytelling, media analytics, audience research and countless areas in which strategic communication and media skills are essential.",https://drexel.edu/coas/academics/departments-centers/communication/,"3201 Arch Street, Suite 100 Philadelphia, PA 19104",215.895.2456,Hilde Van den Bulck,Sharon Wallace
Criminology & Justice Studies,College of Arts and Sciences,"How did the War on Drugs of the '80s and '90s impact urban communities, from street-corner dealing and violence, to overall community health? How do so-called Three Strikes laws typically influence the decisions of judges at sentencing? How far will the War on Terrorism push the legal boundaries of government surveillance? How is "big data" used by justice, intelligence or private organizations to identify social networks, assess risk, and make decisions about crime policy and resource deployment? Drexel University's Department of Criminology and Justice Studies empowers students to address these and other issues of crime and justice policy.",https://drexel.edu/coas/academics/departments-centers/criminology-justice-studies/,"3401 Market Street, Suite 110 Philadelphia, PA 19104",215.571.4628,Robert Kane,Rachel Koresky
English & Philosophy,College of Arts and Sciences,"Drexel University's Department of English and Philosophy offers undergraduate degrees in English, with concentrations in Literary Studies and Writing; Philosophy; and Philosophy, Politics and Economics; as well as a variety of minors and certificate programs.",https://drexel.edu/coas/academics/departments-centers/english-philosophy/,"MacAlister Hall, Room 5016 3250-60 Chestnut Street Philadelphia, PA 19104",215.895.6911,Roger Kurtz,Liz Heenan
Global Studies and Modern Languages,College of Arts and Sciences,The Global Studies and Modern Languages department emphasizes opportunities for experiential learning as central to the curriculum. Learning by doing allows students to expand their knowledge outside of the classroom through essential hands-on engagement - from around the world to just around the corner.,https://drexel.edu/coas/academics/departments-centers/global-studies-modern-languages/,"Academic Building 101 N. 33rd Street, 3rd Floor Philadelphia, PA 19104",215.895.1208,Rebecca Clothey,Jessica Kratzer
History,College of Arts and Sciences,"In the Department of History at Drexel University, our students learn through experience  from full-time co-op positions in archives, museums and other sites, to conducting and presenting original research, to visiting sites of historical significance. The department has particular strengths in the History of Science, Technology and the Environment, and in Global History.",https://drexel.edu/coas/academics/departments-centers/history/,"MacAlister Hall, Room 3025 3250-60 Chestnut Street Philadelphia, PA 19104",215.895.2463,Tiago Saraiva,Khushi Patel
Mathematics,College of Arts and Sciences,"The mathematics department at Drexel University is a close-knit, energetic and diverse group. The Bachelor of Science and Bachelor of Arts in Mathematics provide a healthy foundation of abstract reasoning, applications and computing. With the Doctorate and Master of Science in Mathematics, the department is focused on developing the next generation of mathematicians. Comprised of internationally recognized researchers, the Department of Mathematics faculty specializes in several areas of mathematics, including mathematical biology, combinatorics, matrix and operator theory, geometry, optics, probability, numerical analysis and partial differential equations.",https://drexel.edu/coas/academics/departments-centers/mathematics/,"Korman Center, Room 291 15 S. 33rd Street Philadelphia PA, 19104",215.895.2668,J. Douglas Wright,Paige Chmielewski
Physics,College of Arts and Sciences,"The Department of Physics provides a solid understanding of physical principles, problem solving, mathematical and computational skills, as well as broad experimental training. Students studying physics have countless opportunities to conduct research as early as freshman year through Drexel's renowned cooperative education program and in faculty research and worldwide collaborations.",https://drexel.edu/coas/academics/departments-centers/physics/,"Disque Hall, Room 816 32 S. 32nd Street Philadelphia, PA 19104",215.895.2708,Stephen L.W. McMillan,Lisa Ferrara
Politics,College of Arts and Sciences,"Political science at its core looks at the distribution of power: in world capitals, between states and in our everyday lives. The Department of Politics at Drexel University trains students in research methods and offers countless opportunities for students to learn beyond the classroom through the Drexel Co-op program, undergraduate research opportunities and interdisciplinary work. The department offers several graduate and undergraduate degrees, including the BA in Political Science and the BA in Philosophy, Politics and Economics.",https://drexel.edu/coas/academics/departments-centers/politics/,"MacAlister Hall, Room 3025 3250-60 Chestnut Street Philadelphia, PA 19104",215.895.2463,Richardson Dilworth,Khushi Patel
